run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_conv_fraction,base_conv_fraction,fulps_recovery_t,base_recovery_t,fulps_stable_recovery_t,base_stable_recovery_t,fulps_unstable_recovery_t,base_unstable_recovery_t,fulps_recovery_fraction,base_recovery_fraction,n_affected_observers,contra_pre_mean,contra_post_mean,contra_spike,stable_fraction,mean_contra_rate
11,52,0.6146359443664551,0.5982882976531982,0.8151251077651978,0.6633232235908508,0.5994887351989746,0.5950847864151001,0.6163865327835083,0.5986585021018982,0.09922656416893005,0.09922656416893005,0.06047900393605232,0.06047900393605232,0.10370475053787231,0.10370475053787231,7.25600004196167,7.25600004196167,1.0,1.0,107.19145965576172,125.1431655883789,115.01422119140625,124.0047378540039,106.408447265625,125.25711822509766,0.8620094868477792,0.5843035791289349,0.9276,0.22396000000000002,0.28620000000000007,0.062240000000000045,0.1036,0.29002133333333335
12,53,0.6152039170265198,0.5987679958343506,0.8177999258041382,0.6671134233474731,0.5994705557823181,0.5955643057823181,0.6166542172431946,0.5990632772445679,0.10153750330209732,0.10153750330209732,0.05925096198916435,0.05925096198916435,0.10543547570705414,0.10543547570705414,7.593200206756592,7.593200206756592,1.0,1.0,107.4270248413086,124.80814361572266,117.01136016845703,126.0397720336914,106.63619232177734,124.7065200805664,0.8757037678648766,0.6154179298397575,0.9236,0.24047999999999997,0.29124000000000005,0.05076000000000008,0.0844,0.2936
13,54,0.6100195050239563,0.5975101590156555,0.7943527102470398,0.671149730682373,0.5972469449043274,0.5943998694419861,0.61357182264328,0.5983752012252808,0.08866718411445618,0.08866718411445618,0.051933735609054565,0.051933735609054565,0.09888344258069992,0.09888344258069992,7.367199897766113,7.367199897766113,1.0,1.0,117.54036712646484,129.88455200195312,127.27593994140625,133.6401824951172,115.15775299072266,128.96542358398438,0.828125,0.5907118055555556,0.9216,0.13028,0.13584000000000002,0.005560000000000009,0.2176,0.21650399999999995
14,55,0.611648440361023,0.5973054766654968,0.8083016872406006,0.664732813835144,0.5977673530578613,0.5941645503044128,0.6147534847259521,0.5980080366134644,0.0897570326924324,0.0897570326924324,0.050071798264980316,0.050071798264980316,0.09863424301147461,0.09863424301147461,7.066800117492676,7.066800117492676,1.0,1.0,108.5150146484375,125.50318145751953,117.09065246582031,125.86685180664062,106.87425231933594,125.43360137939453,0.8434940855323021,0.5773430391264787,0.8792,0.2274,0.25024,0.022840000000000027,0.1828,0.25565866666666665
15,56,0.615638256072998,0.5987070202827454,0.8198886513710022,0.6654849648475647,0.5987791419029236,0.5945394039154053,0.6178247332572937,0.5992475152015686,0.10170390456914902,0.10170390456914902,0.057103388011455536,0.057103388011455536,0.10748806595802307,0.10748806595802307,7.368000030517578,7.368000030517578,1.0,1.0,108.14566802978516,124.33551788330078,117.84745788574219,127.02118682861328,107.02877807617188,124.0263442993164,0.8433945756780402,0.5993000874890638,0.9144,0.21376,0.28408,0.07032,0.1148,0.30071200000000003
16,57,0.6132422089576721,0.5978195071220398,0.8071337938308716,0.6613227725028992,0.5974621772766113,0.5941260457038879,0.6155751347541809,0.5983656048774719,0.09607890993356705,0.09607890993356705,0.05157584324479103,0.05157584324479103,0.10265833139419556,0.10265833139419556,7.285600185394287,7.285600185394287,1.0,1.0,115.83938598632812,129.08665466308594,128.59336853027344,133.8091278076172,114.2735595703125,128.5068817138672,0.79491833030853,0.5657894736842105,0.8816,0.19916000000000003,0.20032,0.0011599999999999666,0.1288,0.27055733333333337
17,58,0.6165929436683655,0.5984968543052673,0.8172160387039185,0.6577044129371643,0.5980892777442932,0.5942360758781433,0.6183873414993286,0.5989100337028503,0.10516953468322754,0.10516953468322754,0.05877050384879112,0.05877050384879112,0.10966895520687103,0.10966895520687103,7.852799892425537,7.852799892425537,1.0,1.0,109.2215347290039,125.75110626220703,119.34857177734375,127.55999755859375,108.37398529052734,125.59971618652344,0.8345101500441306,0.5829655781112092,0.9064,0.27236000000000005,0.24900000000000003,-0.02336000000000002,0.0884,0.3152613333333333
18,59,0.6173929572105408,0.5990164279937744,0.8246718049049377,0.6612169742584229,0.6000089049339294,0.5951482653617859,0.6187095046043396,0.5993093252182007,0.10638906061649323,0.10638906061649323,0.06278853118419647,0.06278853118419647,0.10969099402427673,0.10969099402427673,7.360799789428711,7.360799789428711,1.0,1.0,105.60208892822266,124.99652099609375,113.94366455078125,127.01408386230469,105.05370330810547,124.8638916015625,0.8748913987836664,0.6012163336229366,0.9208,0.3058,0.34984000000000004,0.044040000000000024,0.0704,0.32370666666666664
19,60,0.6124445199966431,0.597906231880188,0.7992488145828247,0.6618243455886841,0.5985107421875,0.5948730707168579,0.6144898533821106,0.5983514785766602,0.09669844061136246,0.09669844061136246,0.05803833156824112,0.05803833156824112,0.10237331688404083,0.10237331688404083,7.999599933624268,7.999599933624268,1.0,1.0,116.93746948242188,130.17237854003906,128.2276153564453,132.60447692871094,115.45061492919922,129.85208129882812,0.8336951801997394,0.5779418150238819,0.9212,0.19827999999999998,0.16156,-0.036719999999999975,0.128,0.2590693333333333
20,61,0.6102726459503174,0.597267210483551,0.7989287376403809,0.6679011583328247,0.5970178246498108,0.59377521276474,0.6133013963699341,0.5980651378631592,0.0887218713760376,0.0887218713760376,0.051999326795339584,0.051999326795339584,0.09711302071809769,0.09711302071809769,6.9232001304626465,6.9232001304626465,1.0,1.0,117.57129669189453,130.3497314453125,126.38309478759766,132.9239501953125,115.890380859375,129.85867309570312,0.7955776173285198,0.5568592057761733,0.8864,0.19456,0.13835999999999998,-0.05620000000000003,0.186,0.22798133333333334
