run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_post_peak,gate_spike_mean,gate_spike_peak,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
11,52,0.5994179844856262,0.6180523633956909,0.6214460730552673,0.6634644269943237,0.8225318193435669,0.7948092818260193,0.11301223917937671,0.05816458885580013,0.015332968704104359,0.002390502373428813,-0.05484765032357658,-0.012942466330675546,0.0,0.0,0.22628000000000004,0.185,0.2132,-0.04128000000000004,-0.013080000000000036,-0.013080000000000036,0.14635399999999998,0.5268,-0.0012800000000000034,0.19944,0.19816,163.1306610107422,140.69125366210938,120.77288818359375,0.6110392410521777,0.8732212160413971,0.896551724137931,0.1206679716706276,0.1876,0.2836,0.266996
12,53,0.5998023152351379,0.6188242435455322,0.6215078234672546,0.6651517748832703,0.8255861401557922,0.7936412692070007,0.08287807642373907,0.043744944736194925,0.018442863787290254,0.0029448165831583908,-0.03913313168754414,-0.015498047204131863,0.0,0.0,0.22880000000000003,0.18452,0.2128,-0.04428000000000004,-0.016000000000000042,-0.016000000000000042,0.14260799999999998,0.494,0.08459999999999993,0.22620000000000004,0.31079999999999997,159.90362548828125,135.4350128173828,118.70745086669922,0.6114058355437666,0.874447391688771,0.9127801332525742,0.12149374932050705,0.2076,0.3116,0.281818
13,54,0.599078893661499,0.6144461035728455,0.6146859526634216,0.6729375720024109,0.8121185898780823,0.7761679887771606,0.08779086990198372,0.031597886465939404,0.023986168926994827,0.0029459437939741017,-0.056192983436044314,-0.021040225133020726,0.0,0.0,0.24752000000000002,0.20591999999999996,0.2508,-0.041600000000000054,0.003280000000000005,0.003280000000000005,0.14050800000000002,0.478,0.047920000000000004,0.12428000000000002,0.17220000000000002,165.8197479248047,145.3935546875,121.43103790283203,0.6369098712446352,0.8721030042918455,0.8919098143236074,0.10248827934265137,0.3008,0.466,0.220768
14,55,0.6002125144004822,0.6184203028678894,0.6199320554733276,0.6714268922805786,0.8253734111785889,0.7902690172195435,0.07843499243542526,0.028062766834146456,0.011246848884258778,0.0018902879580921612,-0.050372225601278804,-0.009356560926166615,0.0,0.0,0.27555999999999997,0.20644,0.2668,-0.06911999999999996,-0.00875999999999999,-0.00875999999999999,0.155996,0.5256,0.06948000000000004,0.18072,0.25020000000000003,160.64512634277344,137.98809814453125,117.21829986572266,0.6485337866553336,0.888652783680408,0.9235294117647059,0.11761640757322311,0.2368,0.3084,0.26681
15,56,0.60054612159729,0.6217179894447327,0.6234461069107056,0.6639657020568848,0.832389771938324,0.7984983921051025,0.09358032313719912,0.048295792702548586,0.01435062997971448,0.005744493336067859,-0.045284530434650534,-0.00860613664364662,0.0,0.0,0.21808,0.17187999999999998,0.2084,-0.04620000000000002,-0.009679999999999994,-0.009679999999999994,0.14943199999999998,0.4932,0.04039999999999999,0.21448,0.25488,162.4806671142578,138.56056213378906,116.62345123291016,0.6179345516362091,0.87972800679983,0.9263406010606954,0.1271054744720459,0.14,0.2348,0.298644
16,57,0.6001288890838623,0.6192898154258728,0.6218648552894592,0.6643140316009521,0.8228280544281006,0.796565055847168,0.22378835327716093,0.031947670593070424,0.03248497082114295,0.002587934130326608,-0.1918406826840905,-0.02989703669081634,0.0,0.0,0.261,0.19708,0.2436,-0.06392,-0.0174,-0.0174,0.14728000000000002,0.4884,0.04256,0.10864,0.1512,164.41580200195312,144.70489501953125,112.67794036865234,0.6430412371134021,0.8642611683848798,0.9505530253741054,0.12224297225475311,0.1544,0.2808,0.268982
17,58,0.6003749966621399,0.621178925037384,0.6216484308242798,0.6599764823913574,0.8262122869491577,0.7933197021484375,0.2260959595199078,0.05873790089303058,0.010071301581470583,0.004462762076391787,-0.16735805862687722,-0.005608539505078796,0.0,0.0,0.21208,0.18772,0.2092,-0.024359999999999993,-0.0028799999999999937,-0.0028799999999999937,0.14555,0.5164,-0.012920000000000015,0.19524,0.18231999999999998,165.07296752929688,144.8998260498047,120.01563262939453,0.6187392055267703,0.8605354058721935,0.9125651418645049,0.12208593636751175,0.1132,0.2884,0.29408999999999996
18,59,0.5999437570571899,0.6200445294380188,0.623268723487854,0.6622669696807861,0.8283256888389587,0.8000483512878418,0.11066371665175462,0.027510286263072874,0.01270687753142311,0.0005526111112393986,-0.08315343038868174,-0.012154266420183711,0.0,0.0,0.24364,0.19168,0.2492,-0.051960000000000006,0.005560000000000009,0.005560000000000009,0.144184,0.5088,0.0038000000000000256,0.24711999999999995,0.25092,163.47293090820312,140.00433349609375,111.85429382324219,0.5855348635773062,0.8475530532698138,0.9470734744707348,0.12605781853199005,0.1288,0.2456,0.295032
19,60,0.598701536655426,0.6142585873603821,0.6230999827384949,0.6644564867019653,0.8025990128517151,0.7972040772438049,0.31605136436055536,0.0617945126656113,0.05730436830782917,0.0011036234942660816,-0.25425685169494405,-0.05620074481356309,0.0,0.0,0.21884,0.18259999999999998,0.2176,-0.03624000000000002,-0.0012400000000000189,-0.0012400000000000189,0.145076,0.5296,0.015120000000000022,0.09043999999999999,0.10556000000000001,171.73907470703125,156.39723205566406,113.74478912353516,0.5980095196884465,0.8208567719601904,0.9393556538218573,0.1258484423160553,0.2648,0.2428,0.221082
20,61,0.5981101393699646,0.6127468943595886,0.6201359629631042,0.6696430444717407,0.8091146349906921,0.7923007607460022,0.20114634230273037,0.039313185309547104,0.026058696022632537,0.0015021569718870595,-0.16183315699318326,-0.02455653905074548,0.0,0.0,0.24255999999999997,0.20180000000000003,0.2388,-0.040759999999999935,-0.003759999999999958,-0.003759999999999958,0.14797000000000002,0.5156,0.013160000000000005,0.13191999999999998,0.14508,168.59078979492188,149.59786987304688,116.22663879394531,0.5646589902568645,0.8157661647475642,0.925115970841617,0.11748437583446503,0.316,0.33,0.21489999999999998
