run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_stable_conv_t,base_stable_conv_t,fulps_unstable_conv_t,base_unstable_conv_t,fulps_conv_fraction,base_conv_fraction,stable_fraction,mean_contra_rate
18,59,0.7396218776702881,0.7292109131813049,0.8455001711845398,0.7131795883178711,0.7281315326690674,0.727030873298645,0.74192214012146,0.7296473979949951,0.06671015918254852,0.06671015918254852,0.030730104073882103,0.030730104073882103,0.07391307502985,0.07391307502985,7.360799789428711,7.360799789428711,5.064748287200928,5.064748287200928,7.820451259613037,7.820451259613037,1.0,1.0,0.1668,0.23559599999999997
19,60,0.7359640598297119,0.7284382581710815,0.8327558636665344,0.7311795353889465,0.7274817228317261,0.7268434166908264,0.7404834628105164,0.7292880415916443,0.05310000106692314,0.05310000106692314,0.02352515421807766,0.02352515421807766,0.06885753571987152,0.06885753571987152,7.999599933624268,7.999599933624268,5.7848100662231445,5.7848100662231445,9.179644584655762,9.179644584655762,1.0,1.0,0.3476,0.17530400000000002
20,61,0.7351961135864258,0.7284258008003235,0.836151659488678,0.7347588539123535,0.7279747724533081,0.7269588112831116,0.7392019629478455,0.7292395234107971,0.05007109418511391,0.05007109418511391,0.02616136521100998,0.02616136521100998,0.06333445012569427,0.06333445012569427,6.9232001304626465,6.9232001304626465,5.195067405700684,5.195067405700684,7.881840705871582,7.881840705871582,1.0,1.0,0.3568,0.15786
21,62,0.7382734417915344,0.7290062308311462,0.8422712683677673,0.7190537452697754,0.7279418110847473,0.7269376516342163,0.7410596609115601,0.7295641303062439,0.062086720019578934,0.062086720019578934,0.027108345180749893,0.027108345180749893,0.07151968777179718,0.07151968777179718,7.43720006942749,7.43720006942749,5.305084705352783,5.305084705352783,8.012188911437988,8.012188911437988,1.0,1.0,0.2124,0.20641999999999996
22,63,0.7377890348434448,0.7288374900817871,0.8479727506637573,0.731153666973114,0.7279046177864075,0.7269656658172607,0.7422715425491333,0.7296863794326782,0.05727500095963478,0.05727500095963478,0.023825621232390404,0.023825621232390404,0.0724439024925232,0.0724439024925232,7.074399948120117,7.074399948120117,4.82564115524292,4.82564115524292,8.094185829162598,8.094185829162598,1.0,1.0,0.312,0.20248000000000002
23,64,0.7399734258651733,0.7292984127998352,0.8422265648841858,0.7141682505607605,0.7277522683143616,0.7269482612609863,0.7428849935531616,0.7298583388328552,0.06734218448400497,0.06734218448400497,0.02569110505282879,0.02569110505282879,0.07726500928401947,0.07726500928401947,7.822400093078613,7.822400093078613,5.407484531402588,5.407484531402588,8.397721290588379,8.397721290588379,1.0,1.0,0.1924,0.23869999999999994
24,65,0.7351375222206116,0.7285429835319519,0.8351752758026123,0.748339831829071,0.7274203300476074,0.7268765568733215,0.7402395606040955,0.7296446561813354,0.05008593574166298,0.05008593574166298,0.02139604277908802,0.02139604277908802,0.06905367225408554,0.06905367225408554,6.789599895477295,6.789599895477295,5.0211052894592285,5.0211052894592285,7.958804130554199,7.958804130554199,1.0,1.0,0.398,0.152532
25,66,0.7374304533004761,0.7287617325782776,0.8339312672615051,0.7174615263938904,0.7277568578720093,0.7269333600997925,0.7403134703636169,0.7293066382408142,0.05946406349539757,0.05946406349539757,0.02802768349647522,0.02802768349647522,0.06883294880390167,0.06883294880390167,8.144000053405762,8.144000053405762,6.266550540924072,6.266550540924072,8.703530311584473,8.703530311584473,1.0,1.0,0.2296,0.200616
26,67,0.7391836047172546,0.729114830493927,0.8496214747428894,0.7193660140037537,0.7279714345932007,0.7269687652587891,0.7421568632125854,0.7296839356422424,0.0639718770980835,0.0639718770980835,0.02720211073756218,0.02720211073756218,0.07372256368398666,0.07372256368398666,7.019999980926514,7.019999980926514,5.496183395385742,5.496183395385742,7.424088954925537,7.424088954925537,1.0,1.0,0.2096,0.22355599999999995
27,68,0.7397281527519226,0.7294062376022339,0.8367165327072144,0.7126629948616028,0.7277777791023254,0.7268860340118408,0.7426784634590149,0.7300284504890442,0.06706874817609787,0.06706874817609787,0.02795138955116272,0.02795138955116272,0.07672615349292755,0.07672615349292755,7.861199855804443,7.861199855804443,5.707070827484131,5.707070827484131,8.393017768859863,8.393017768859863,1.0,1.0,0.198,0.234668
28,69,0.7347515821456909,0.7283250093460083,0.8366066217422485,0.7418510317802429,0.7276971936225891,0.7269158959388733,0.7390386462211609,0.7291813492774963,0.04847343638539314,0.04847343638539314,0.024464698508381844,0.024464698508381844,0.06306395679712296,0.06306395679712296,6.690800189971924,6.690800189971924,5.085714340209961,5.085714340209961,7.666237831115723,7.666237831115723,1.0,1.0,0.378,0.147212
29,70,0.7393476366996765,0.729324996471405,0.8416695594787598,0.7171943187713623,0.7278604507446289,0.7270144820213318,0.7420142292976379,0.729861319065094,0.06625781208276749,0.06625781208276749,0.026307059451937675,0.026307059451937675,0.0755317434668541,0.0755317434668541,7.429999828338623,7.429999828338623,5.093418121337891,5.093418121337891,7.972400188446045,7.972400188446045,1.0,1.0,0.1884,0.22783600000000004
30,71,0.7395914196968079,0.7293343544006348,0.8510090708732605,0.7204244136810303,0.7279382348060608,0.72695392370224,0.7425339221954346,0.7299354672431946,0.06464921683073044,0.06464921683073044,0.02734375,0.02734375,0.07406903803348541,0.07406903803348541,7.440800189971924,7.440800189971924,5.172618865966797,5.172618865966797,8.013526916503906,8.013526916503906,1.0,1.0,0.2016,0.24160400000000004
