run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
11,52,0.5994179844856262,0.6180523633956909,0.5993281006813049,0.6634644269943237,0.8225318193435669,0.718244731426239,0.1130122391793767,0.0112811767974842,0.0153329687041043,0.0057057206512186,-0.1017310623818924,-0.0096272480528857,0.0,0.0,0.49164,0.41276,-0.07888,0.3253,0.5072,-0.00128,0.19944,0.19816,163.1306610107422,140.69125366210938,124.81156158447266,0.6110392410521777,0.8732212160413971,0.915606936416185,0.0566195324063301,0.1876,0.9536,0.266996
12,53,0.5998023152351379,0.6188242435455322,0.600055456161499,0.6651517748832703,0.8255861401557922,0.7226731777191162,0.082878076423739,0.0163343170472358,0.0184428637872902,0.0031801158067432,-0.0665437593765032,-0.015262747980547,0.0,0.0,0.48124,0.42988,-0.05136,0.331588,0.5092,0.0845999999999999,0.2262,0.3107999999999999,159.90362548828125,135.4350128173828,124.22315979003906,0.6114058355437666,0.874447391688771,0.9324487334137516,0.0599242188036441,0.2076,0.9488,0.281818
13,54,0.599078893661499,0.6144461035728455,0.5999757647514343,0.6729375720024109,0.8121185898780823,0.7229163646697998,0.0877908699019837,0.0206973144508142,0.0239861689269948,0.0025315353499561,-0.0670935554511694,-0.0214546335770386,0.0,0.0,0.5138800000000001,0.43312,-0.0807600000000001,0.328022,0.5212,0.04792,0.12428,0.1722,165.8197479248047,145.3935546875,122.31353759765624,0.6369098712446352,0.8721030042918455,0.9406175771971496,0.0599546879529953,0.3008,0.936,0.220768
14,55,0.6002125144004822,0.6184203028678894,0.6000913977622986,0.6714268922805786,0.8253734111785889,0.7239699363708496,0.0784349924354252,0.0235669583588972,0.0112468488842587,0.0042613730883441,-0.054868034076528,-0.0069854757959146,0.0,0.0,0.5124000000000001,0.4392,-0.0732,0.327316,0.49,0.06948,0.18072,0.2502,160.64512634277344,137.98809814453125,121.96263885498048,0.6485337866553336,0.888652783680408,0.9527472527472528,0.0596882812678813,0.2368,0.9412,0.26681
15,56,0.60054612159729,0.6217179894447327,0.5993476510047913,0.6639657020568848,0.832389771938324,0.722744345664978,0.0935803231371991,0.0100935176040143,0.0143506299797144,0.0042386518593613,-0.0834868055331847,-0.0101119781203531,0.0,0.0,0.478,0.41696,-0.06104,0.335348,0.5048,0.0403999999999999,0.21448,0.25488,162.4806671142578,138.56056213378906,125.5701904296875,0.6179345516362091,0.87972800679983,0.9377713458755428,0.0566554702818393,0.14,0.9616,0.298644
16,57,0.6001288890838623,0.6192898154258728,0.59956955909729,0.6643140316009521,0.8228280544281006,0.7216940522193909,0.2237883532771609,0.0338602509458385,0.0324849708211429,0.0022818475096388,-0.1899281023313223,-0.0302031233115041,0.0,0.0,0.51856,0.4483600000000001,-0.0701999999999999,0.339604,0.5132,0.04256,0.10864,0.1512,164.41580200195312,144.70489501953125,120.101806640625,0.6430412371134021,0.8642611683848798,0.9561855670103092,0.0571976564824581,0.1544,0.9628,0.268982
17,58,0.6003749966621399,0.621178925037384,0.5989921689033508,0.6599764823913574,0.8262122869491577,0.7183777093887329,0.2260959595199078,0.0243126922193778,0.0100713015814705,0.0029895541046649,-0.2017832673005299,-0.0070817474768056,0.0,0.0,0.48752,0.43,-0.05752,0.328464,0.4956,-0.01292,0.19524,0.1823199999999999,165.07296752929688,144.8998260498047,125.98125457763672,0.6187392055267703,0.8605354058721935,0.9558232931726908,0.055667970329523,0.1132,0.9592,0.2940899999999999
18,59,0.5999437570571899,0.6200445294380188,0.5995711088180542,0.6622669696807861,0.8283256888389587,0.7236971259117126,0.1106637166517546,0.012483703076119,0.0127068775314231,0.0033094532791782,-0.0981800135756356,-0.0093974242522448,0.0,0.0,0.5028400000000001,0.4286399999999999,-0.0742000000000001,0.343176,0.4768,0.0038,0.2471199999999999,0.25092,163.47293090820312,140.00433349609375,125.73040008544922,0.5855348635773062,0.8475530532698138,0.9463548830811556,0.057218749076128,0.1288,0.9624,0.295032
19,60,0.598701536655426,0.6142585873603821,0.5999640822410583,0.6644564867019653,0.8025990128517151,0.7202559113502502,0.3160513643605553,0.016190538239297,0.0573043683078291,0.0082913681840519,-0.2998608261212583,-0.0490130001237772,0.0,0.0,0.49632,0.43212,-0.0641999999999999,0.3313439999999999,0.5056,0.01512,0.0904399999999999,0.10556,171.73907470703125,156.39723205566406,132.34486389160156,0.5980095196884465,0.8208567719601904,0.9029017857142856,0.0604570321738719,0.2648,0.9344,0.221082
20,61,0.5981101393699646,0.6127468943595886,0.6004250049591064,0.6696430444717407,0.8091146349906921,0.7310303449630737,0.2011463423027303,0.027501336945373,0.0260586960226325,0.0033953771947813,-0.1736450053573572,-0.0226633188278512,0.0,0.0,0.5085200000000001,0.45648,-0.05204,0.33497,0.5024,0.01316,0.1319199999999999,0.14508,168.59078979492188,149.59786987304688,128.24237060546875,0.5646589902568645,0.8157661647475642,0.943702290076336,0.0604460947215557,0.316,0.95,0.2148999999999999
