run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
12,53,0.5998023152351379,0.6188242435455322,0.6003562211990356,0.6651517748832703,0.8255861401557922,0.73276686668396,0.08287807642373907,0.024275723039922554,0.018442863787290254,0.005876171254323584,-0.058602353383816516,-0.01256669253296667,0.0,0.0,0.43176000000000003,0.37920000000000004,-0.052559999999999996,0.29803599999999997,0.5164,0.08459999999999993,0.22620000000000004,0.31079999999999997,159.90362548828125,135.4350128173828,133.19305419921875,0.6114058355437666,0.874447391688771,0.8622559652928417,0.060264844447374344,0.2076,0.91,0.281818
13,54,0.599078893661499,0.6144461035728455,0.6010781526565552,0.6729375720024109,0.8121185898780823,0.7378703355789185,0.08779086990198372,0.021949207079955516,0.023986168926994827,0.0057141462352741255,-0.0658416628220282,-0.0182720226917207,0.0,0.0,0.46799999999999997,0.41739999999999994,-0.050600000000000034,0.30221400000000004,0.4952,0.047920000000000004,0.12428000000000002,0.17220000000000002,165.8197479248047,145.3935546875,131.89617919921875,0.6369098712446352,0.8721030042918455,0.8883447600391773,0.06266406178474426,0.3008,0.8928,0.220768
14,55,0.6002125144004822,0.6184203028678894,0.6015914082527161,0.6714268922805786,0.8253734111785889,0.7365285754203796,0.07843499243542526,0.03054069478589472,0.011246848884258778,0.0028527976287589145,-0.04789429764953054,-0.008394051255499864,0.0,0.0,0.50132,0.4542400000000001,-0.0470799999999999,0.32058400000000004,0.504,0.06948000000000004,0.18072,0.25020000000000003,160.64512634277344,137.98809814453125,122.1370849609375,0.6485337866553336,0.888652783680408,0.9167686658506732,0.06349765509366989,0.2368,0.9096,0.26681
15,56,0.60054612159729,0.6217179894447327,0.6014335751533508,0.6639657020568848,0.832389771938324,0.7379059195518494,0.09358032313719912,0.02004771044639123,0.01435062997971448,0.004160185391991697,-0.0735326126908079,-0.010190444587722784,0.0,0.0,0.46320000000000006,0.42835999999999996,-0.03484000000000009,0.324646,0.4964,0.04039999999999999,0.21448,0.25488,162.4806671142578,138.56056213378906,129.05810546875,0.6179345516362091,0.87972800679983,0.9062181447502549,0.06226015463471413,0.14,0.9128,0.298644
16,57,0.6001288890838623,0.6192898154258728,0.6006382703781128,0.6643140316009521,0.8228280544281006,0.7330994009971619,0.22378835327716093,0.028128181445557076,0.03248497082114295,0.002497833102775943,-0.19566017183160386,-0.029987137718367005,0.0,0.0,0.4894,0.44752000000000003,-0.04187999999999997,0.315812,0.4884,0.04256,0.10864,0.1512,164.41580200195312,144.70489501953125,121.2701644897461,0.6430412371134021,0.8642611683848798,0.9257362355953905,0.05938046798110008,0.1544,0.9248,0.268982
17,58,0.6003749966621399,0.621178925037384,0.6010007858276367,0.6599764823913574,0.8262122869491577,0.7346349954605103,0.2260959595199078,0.01669406801300551,0.010071301581470583,0.0028654256159104004,-0.20940189150690228,-0.007205875965560183,0.0,0.0,0.50076,0.45640000000000003,-0.044359999999999955,0.32567999999999997,0.5248,-0.012920000000000015,0.19524,0.18231999999999998,165.07296752929688,144.8998260498047,124.90105438232422,0.6187392055267703,0.8605354058721935,0.9063157894736842,0.06207500025629997,0.1132,0.9024,0.29408999999999996
18,59,0.5999437570571899,0.6200445294380188,0.6010156273841858,0.6622669696807861,0.8283256888389587,0.7369375228881836,0.11066371665175462,0.02539031051770472,0.01270687753142311,0.006239595443147181,-0.0852734061340499,-0.0064672820882759295,0.0,0.0,0.45940000000000003,0.40556000000000003,-0.05384,0.312322,0.4764,0.0038000000000000256,0.24711999999999995,0.25092,163.47293090820312,140.00433349609375,126.46415710449219,0.5855348635773062,0.8475530532698138,0.9012925969447708,0.061164844781160355,0.1288,0.906,0.295032
19,60,0.598701536655426,0.6142585873603821,0.601017951965332,0.6644564867019653,0.8025990128517151,0.730485737323761,0.31605136436055536,0.015139525247531586,0.05730436830782917,0.0033922754623450374,-0.30091183911302377,-0.053912092845484136,0.0,0.0,0.5043599999999999,0.44216,-0.06219999999999992,0.331544,0.4952,0.015120000000000022,0.09043999999999999,0.10556000000000001,171.73907470703125,156.39723205566406,120.12483215332031,0.5980095196884465,0.8208567719601904,0.9463087248322147,0.06228359416127205,0.2648,0.9036,0.221082
20,61,0.5981101393699646,0.6127468943595886,0.6013453006744385,0.6696430444717407,0.8091146349906921,0.7384593486785889,0.20114634230273037,0.012431590460507437,0.026058696022632537,0.007130989580710146,-0.18871475184222294,-0.01892770644192239,0.0,0.0,0.47196000000000005,0.42948,-0.04248000000000007,0.31825600000000004,0.4876,0.013160000000000005,0.13191999999999998,0.14508,168.59078979492188,149.59786987304688,128.80210876464844,0.5646589902568645,0.8157661647475642,0.9192037470725996,0.06255156546831131,0.316,0.9196,0.21489999999999998
21,62,0.5999187231063843,0.6197953224182129,0.6020874977111816,0.6650205850601196,0.8303834795951843,0.7385940551757812,0.08469895538599198,0.043539092697446664,0.010066490025860575,0.0037919985487764696,-0.041159862688545316,-0.006274491477084105,0.0,0.0,0.5024,0.45391999999999993,-0.04848000000000002,0.31852800000000003,0.5164,0.061480000000000035,0.27252,0.334,158.8074188232422,133.4283905029297,121.91244506835938,0.6192139737991267,0.8816593886462882,0.9274193548387096,0.06557656079530716,0.1992,0.8872,0.282478
22,63,0.599163293838501,0.617257833480835,0.6006734371185303,0.6629671454429626,0.8209404349327087,0.7332815527915955,0.12545780409849394,0.01259463261963242,0.019978746615253035,0.013264684571920425,-0.11286317147886152,-0.00671406204333261,0.0,0.0,0.47048000000000006,0.40779999999999994,-0.06268000000000012,0.325014,0.4856,0.021639999999999965,0.17032000000000003,0.19196,164.4544677734375,143.4771270751953,132.3874053955078,0.6032874278098623,0.8471790315415371,0.9031476997578692,0.05957422032952309,0.2364,0.9316,0.258794
